date,ac
2009-2-3,6.8
2009-2-4,6.98
2009-2-5,6.86
2009-2-6,7.25
2009-2-9,7.66
2009-2-10,7.68
2009-2-11,7.83
2009-2-12,7.9
2009-2-13,8.1
2009-2-16,7.95
2009-2-17,7.81
2009-2-18,7.27
2009-2-19,7.26
2009-2-20,7.49
2009-2-23,7.67
2009-2-24,7.37
2009-2-25,7.11
2009-2-26,6.77
2009-2-27,6.75
2009-3-2,6.79
2009-3-3,6.58
2009-3-4,6.97
2009-3-5,6.82
2009-3-6,7.25
2009-3-9,7.01
2009-3-10,7.08
2009-3-11,6.9
2009-3-12,6.74
2009-3-13,6.75
2009-3-16,6.73
2009-3-17,7.13
2009-3-18,7.29
2009-3-19,7.5
2009-3-20,7.48
2009-3-23,7.63
2009-3-24,7.88
2009-3-25,7.71
2009-3-26,7.78
2009-3-27,7.79
2009-3-30,7.56
2009-4-1,7.81
2009-4-2,8.38
2009-4-3,8.47
2009-4-7,8.34
2009-4-8,8.11
2009-4-9,8.17
2009-4-10,8.47
2009-4-13,8.8
2009-4-14,8.73
2009-4-15,8.56
2009-4-16,8.67
2009-4-17,8.81
2009-4-20,9.63
2009-4-21,9.82
2009-4-22,9.21
2009-4-23,9.25
2009-4-24,9.36
2009-4-27,8.9
2009-4-28,8.87
2009-4-29,9.18
2009-4-30,9.39
2009-5-4,9.58
2009-5-5,9.51
2009-5-6,9.54
2009-5-7,9.38
2009-5-8,9.32
2009-5-11,9.1
2009-5-12,9.21
2009-5-13,9.85
2009-5-14,9.6
2009-5-15,9.65
2009-5-18,9.59
2009-5-19,9.54
2009-5-20,9.54
2009-5-21,9.32
2009-5-22,9.19
2009-5-25,9.05
2009-5-26,9.11
2009-5-27,9.16
2009-6-1,9.26
2009-6-2,9.25
2009-6-3,9.19
2009-6-4,9.32
2009-6-5,9.49
2009-6-8,9.37
2009-6-9,9.75
2009-6-10,10.2
2009-6-11,10.11
2009-6-12,9.74
2009-6-15,10.37
2009-6-16,10.5
2009-6-17,10.45
2009-6-18,10.39
2009-6-19,10.06
2009-6-22,10.2
2009-6-23,10.1
2009-6-24,10.23
2009-6-25,10.27
2009-6-26,10.08
2009-6-29,10.11
2009-6-30,10.11
2009-7-1,10.08
2009-7-2,10.08
2009-7-3,10.02
2009-7-7,10.18
2009-7-8,10.33
2009-7-9,10.34
2009-7-10,10.28
2009-7-13,10.2
2009-7-14,10.67
2009-7-15,10.44
2009-7-16,10.25
2009-7-17,10.17
2009-7-20,10.45
2009-7-21,10.11
2009-7-22,10.15
2009-7-23,10.11
2009-7-24,10.03
2009-7-27,10.09
2009-7-28,10.37
2009-7-29,9.62
2009-7-30,9.55
2009-7-31,9.74
2009-8-3,9.71
2009-8-4,9.91
2009-8-5,10.12
2009-8-6,10.23
2009-8-7,9.94
2009-8-10,10.14
2009-8-11,10.44
2009-8-12,9.91
2009-8-13,9.64
2009-8-14,9.36
2009-8-17,8.84
2009-8-18,8.94
2009-8-19,8.59
2009-8-20,8.87
2009-8-21,9.08
2009-8-24,9.32
2009-8-25,9.35
2009-8-26,9.62
2009-8-27,9.54
2009-8-28,9.25
2009-8-31,8.78
2009-9-1,8.92
2009-9-2,8.88
2009-9-3,9.2
2009-9-4,9.15
2009-9-7,9.57
2009-9-8,9.91
2009-9-9,9.82
2009-9-10,9.66
2009-9-11,9.88
2009-9-14,9.94
2009-9-15,10.08
2009-9-16,10.01
2009-9-17,10.3
2009-9-18,9.84
2009-9-21,10.51
2009-9-22,10.58
2009-9-23,10.24
2009-9-24,10.1
2009-9-25,10.29
2009-9-28,10.38
2009-9-29,10.36
2009-9-30,10.32
2009-10-9,10.89
2009-10-12,10.83
2009-10-13,10.81
2009-10-14,10.58
2009-10-15,10.42
2009-10-16,10.36
2009-10-19,10.48
2009-10-20,10.49
2009-10-21,10.23
2009-10-22,10.25
2009-10-23,10.36
2009-10-26,10.29
2009-10-27,10.08
2009-10-28,10.16
2009-10-29,10.12
2009-10-30,10.18
2009-11-2,10.5
2009-11-3,10.56
2009-11-5,10.49
2009-11-6,10.59
2009-11-9,10.55
2009-11-10,10.45
2009-11-11,10.56
2009-11-12,11.01
2009-11-13,11.51
2009-11-16,11.57
2009-11-17,11.68
2009-11-18,11.77
2009-11-19,11.98
2009-11-20,11.77
2009-11-23,12.27
2009-11-24,11.59
2009-11-25,12.17
2009-11-26,11.44
2009-11-27,11.17
2009-11-30,11.95
2009-12-1,12.14
2009-12-2,12.09
2009-12-3,12.07
2009-12-4,12.06
2009-12-7,12.46
2009-12-8,12.39
2009-12-9,12.26
2009-12-10,12.54
2009-12-11,12.45
2009-12-14,12.64
2009-12-15,12.62
2009-12-16,12.31
2009-12-17,12.05
2009-12-18,11.87
2009-12-21,11.81
2009-12-22,11.49
2009-12-23,11.96
2009-12-24,12.4
2009-12-25,12.38
2009-12-28,12.63
2009-12-29,13.05
2009-12-30,12.97
2009-12-31,13.08
2010-1-4,12.98
2010-1-5,12.83
2010-1-6,12.74
2010-1-7,12.34
2010-1-8,12.49
2010-1-11,12.06
2010-1-12,12.32
2010-1-13,11.92
2010-1-14,12.26
2010-1-15,12.32
2010-1-18,12.69
2010-1-19,12.47
2010-1-20,12.05
2010-1-21,12.01
2010-1-22,11.58
2010-1-25,11.6
2010-1-26,11.37
2010-1-27,11.1
2010-1-28,11.24
2010-1-29,11.48
2010-2-1,11.32
2010-2-2,11.14
2010-2-3,11.29
2010-2-4,11.17
2010-2-5,11.03
2010-2-8,11.35
2010-2-9,11.33
2010-2-10,11.45
2010-2-11,11.51
2010-2-12,11.76
2010-2-22,11.44
2010-2-23,11.21
2010-2-24,11.32
2010-2-25,11.64
2010-2-26,11.62
2010-3-1,11.89
2010-3-2,11.84
2010-3-3,11.77
2010-3-4,11.52
2010-3-5,11.52
2010-3-8,11.49
2010-3-9,11.49
2010-3-10,11.71
2010-3-11,11.75
2010-3-12,11.39
2010-3-15,11.14
2010-3-16,11.33
2010-3-17,11.51
2010-3-18,11.5
2010-3-19,11.64
2010-3-22,11.61
2010-3-23,11.61
2010-3-24,11.59
2010-3-25,11.33
2010-3-26,11.47
2010-3-29,11.64
2010-3-30,11.9
2010-3-31,11.83
2010-4-1,11.97
2010-4-2,12.09
2010-4-7,11.96
2010-4-8,11.77
2010-4-9,11.96
2010-4-12,11.66
2010-4-13,11.73
2010-4-14,11.68
2010-4-15,11.68
2010-4-16,11.83
2010-4-19,11.23
2010-4-20,10.84
2010-4-21,11.03
2010-4-22,11.17
2010-4-23,10.79
2010-4-26,10.6
2010-4-27,10.22
2010-4-28,10.4
2010-4-29,10.44
2010-4-30,10.6
2010-5-4,10.36
2010-5-5,10.41
2010-5-6,9.98
2010-5-7,9.57
2010-5-10,9.8
2010-5-11,9.61
2010-5-12,9.71
2010-5-13,9.99
2010-5-14,9.94
2010-5-17,9.47
2010-5-18,9.63
2010-5-19,9.75
2010-5-20,10.06
2010-5-21,10.47
2010-5-24,10.71
2010-5-25,10.41
2010-5-26,10.37
2010-5-27,10.59
2010-5-28,10.55
2010-5-31,10.27
2010-6-1,10.25
2010-6-2,10.3
2010-6-3,10.31
2010-6-4,10.79
2010-6-7,10.64
2010-6-8,10.79
2010-6-9,11.07
2010-6-10,11.03
2010-6-11,10.87
2010-6-17,10.73
2010-6-18,10.65
2010-6-21,10.92
2010-6-22,11.33
2010-6-23,11.34
2010-6-24,11.29
2010-6-25,11.16
2010-6-28,11.3
2010-6-29,10.77
2010-6-30,10.79
2010-7-1,10.02
2010-7-2,10.3
2010-7-5,10.46
2010-7-6,10.68
2010-7-7,10.82
2010-7-8,10.75
2010-7-9,11.1
2010-7-12,11.14
2010-7-13,11.13
2010-7-14,10.97
2010-7-15,10.84
2010-7-16,10.87
2010-7-19,11.16
2010-7-20,11.44
2010-7-21,11.46
2010-7-22,11.52
2010-7-23,11.53
2010-7-26,11.45
2010-7-28,11.94
2010-7-29,11.91
2010-7-30,11.83
2010-8-2,12.13
2010-8-3,11.98
2010-8-4,11.95
2010-8-5,12.16
2010-8-6,12.36
2010-8-9,12.43
2010-8-10,11.96
2010-8-11,12.12
2010-8-12,12.12
2010-8-13,12.59
2010-8-16,13.12
2010-8-17,13.72
2010-8-18,13.76
2010-8-19,13.62
2010-8-20,13.23
2010-8-23,13.37
2010-8-24,13.71
2010-8-26,13.77
2010-8-27,13.89
2010-8-30,14.44
2010-8-31,14.36
2010-9-1,14.56
2010-9-2,14.47
2010-9-3,14.31
2010-9-6,14.29
2010-9-7,14.18
2010-9-8,14.37
2010-9-9,14.08
2010-9-10,14.22
2010-9-13,14.72
2010-9-14,14.58
2010-9-15,14.29
2010-9-16,13.89
2010-9-17,13.86
2010-9-20,14.22
2010-9-21,14.66
2010-9-27,14.91
2010-9-28,14.93
2010-9-29,15.15
2010-9-30,15.12
2010-10-8,15.6
2010-10-11,15.05
2010-10-12,14.85
2010-10-13,15.09
2010-10-14,14.13
2010-10-15,14.23
2010-10-18,14.11
2010-10-19,14.62
2010-10-20,14.86
2010-10-21,14.78
2010-10-22,14.98
2010-10-25,15.21
2010-10-26,15.13
2010-10-27,14.74
2010-10-28,14.47
2010-10-29,14.51
2010-11-1,14.81
2010-11-2,14.52
2010-11-3,14.33
2010-11-4,14.47
2010-11-5,14.48
2010-11-8,14.56
2010-11-9,14.31
2010-11-10,15.05
2010-11-11,14.73
2010-11-12,13.81
2010-11-15,14.11
2010-11-16,13.52
2010-11-17,13.16
2010-11-18,13.32
2010-11-19,13.4
2010-11-22,13.42
2010-11-23,13.08
2010-11-25,13.63
2010-11-26,13.57
2010-11-29,13.33
2010-11-30,13.1
2010-12-1,13.02
2010-12-2,13.19
2010-12-3,13.2
2010-12-6,13.43
2010-12-7,13.7
2010-12-8,13.59
2010-12-9,13.21
2010-12-10,13.41
2010-12-13,13.78
2010-12-14,13.54
2010-12-15,13.48
2010-12-16,13.35
2010-12-17,13.38
2010-12-20,13.05
2010-12-21,12.97
2010-12-22,12.85
2010-12-23,12.57
2010-12-24,12.59
2010-12-27,12.38
2010-12-28,11.94
2010-12-29,12.21
2010-12-30,12.19
2010-12-31,12.4
2011-1-4,12.35
2011-1-5,11.94
2011-1-6,12.19
2011-1-7,12.4
